ObjektNr;BaustKanton;Kurzbeschreibung;BauartCode;Baubeginn;Bauende;GesuchVom;BewilligtAm;BaukostenVon;BaukostenBis;AnzGeb;AnzWhg;AnzEtagen;AnzUG;AnzPP;CRBCode01;CRBCode02;CRBCode03;CRBCode04;CRBCode05;CRBCode06;CRBCode07;CRBCode08;CRBCode09;CRBCode10
99862639;BE;Neubau eines Einstellraumes         ;1; ; ;23.01.2006; ;0.03;0.03;1;0;0;0;0;41;;;;;;;;;
99862637;BE;Neubau eines Wohnstöcklis mit Schopf         ;1; ; ;26.01.2006; ;0.695;0.695;1;1;2;1;0;14;41;;;;;;;;
99862636;BE;Neubau eines Mehrfamilienhauses mit Einstellhalle und Autounterstand    ;1; ; ;23.01.2006; ;3.3;3.3;1;7;4;1;3;12;131;174;;;;;;;
99863846;BE;Erweiterung und Umbau eines Einfamilienhauses                           ;2; ; ;31.01.2006; ;0.08;0.08;1;1;1;0;0;14;;;;;;;;;
99863843;BE;Umbau eines Ladenlokals in eine Imbissstube;3; ; ;30.01.2006; ;0.05;0.05;1;0;1;0;0;111;;;;;;;;;
99863841;BE;Neubau eines Einfamilienhauses mit Garage;1; ; ;30.01.2006; ;0.5;0.5;1;1;2;1;0;14;139;;;;;;;;
99762738;BE;Umbau                                           ;3;Jun 06;Dez 07;14.07.2005;26.01.2006;31.5;31.5;0;0;0;0;0;352;353;522;721;;;;;;
99860358;BE;Neubau Fussgängerunterführung/Erschliessung, Erw. Friedhof              ;3; ; ;11.01.2006; ;0.6;0.6;1;0;0;0;0;153;211;242;;;;;;;
99863849;BE;Umbau und Sanierung Wohn- und Geschäftshaus;3; ; ;31.01.2006; ;0.8;0.8;1;1;2;0;0;14;111;;;;;;;;
99863847;BE;Erweiterung eines Einfamilienhauses und Neubau Einstellraum;2; ; ;31.01.2006; ;0.3;0.3;1;1;1;0;0;14;139;;;;;;;;
99862648;BE;Neubau eines Entlastungskanals                      ;1; ; ;26.01.2006; ;0.06;0.06;0;0;0;0;0;323;;;;;;;;;
99862647;BE;Anbau/Installation einer Kältemaschine;3; ; ;26.01.2006; ;0.485;0.485;1;0;1;0;0;56;;;;;;;;;
99862645;BE;Neubau eines Einfamilienhauses mit Garage;1; ; ;24.01.2006; ;0.46;0.46;1;1;1;1;0;14;139;;;;;;;;
99862643;BE;Neubau eines Carports;1; ; ;23.01.2006; ;0.03;0.03;1;0;0;0;0;174;;;;;;;;;
99860357;BE;Umbau Waschhaus und Bootshaus zu Gartenwirtschaft, Anbau Unterstand     ;3; ; ;10.01.2006; ;0.3;0.3;4;0;0;0;0;111;;;;;;;;;
99860356;BE;Erweiterung und Umbau einer Doppelhaushälfte;2; ; ;09.01.2006; ;0.09;0.09;1;1;2;1;0;14;;;;;;;;;
99860355;BE;Abbruch einer Nutzfahrzeug-Reparaturwerkstatt;5; ; ;12.01.2006; ;0.05;0.05;1;0;0;0;0;59;;;;;;;;;
99860354;BE;Neubau einer Nutzfahrzeug-Reparaturwerkstatt;1; ; ;12.01.2006; ;0.5;0.5;1;0;1;0;0;59;;;;;;;;;
99860353;BE;Einbau Cheminéeofen mit Kamin beim Einfamilienhaus, Anbau Carport;3; ; ;09.01.2006; ;0.09;0.09;1;1;0;0;0;14;174;;;;;;;;
99854240;BE;Neubau einer Detailerschliessungsstrasse;1;Apr 06; ;28.11.2005;23.01.2006;0.17;0.17;0;0;0;0;0;211;311;321;323;;;;;;
99854222;BE;Umbau/Umnutzung Brotbar in Ladenlokal und Einbau Studio;3; ; ;01.12.2005;25.01.2006;0.2;0.2;1;1;2;0;0;14;61;;;;;;;;
99854217;BE;Neubau Fahrradgeschäft mit Einstellhalle und Werkstatt;1; ; ;28.11.2005;25.01.2006;0.4;0.4;1;0;1;1;0;38;61;;;;;;;;
99849953;BE;Erweiterung eines Schweinestalles und Neubau Jauchgrube         ;2; ; ;01.11.2005;05.01.2006;0.15;0.15;1;0;1;0;0;43;48;;;;;;;;
99849949;BE;Umbau eines Bauernhauses         ;3; ; ;03.11.2005;12.01.2006;0.18;0.18;1;2;2;0;0;14;;;;;;;;;
99850856;BE;Umbau Mehrfamilienhäuser und Erweiterung Balkone;3; ; ;08.11.2005;31.01.2006;2;2;2;18;0;0;0;12;;;;;;;;;
99850851;BE;Umbau eines Kuhstalles         ;3;Jan 06;Mai 06;08.11.2005;04.01.2006;0.4;0.4;1;0;1;0;0;43;;;;;;;;;
99850850;BE;Neubau eines Einfamilienhauses mit Garage;1;Feb 06;Aug 06;07.11.2005;04.01.2006;0.36;0.36;1;1;2;1;0;14;139;;;;;;;;
99850848;BE;Erweiterung und Umbau Einfamilienhaus sowie Neubau Autounterstand       ;2; ; ;08.11.2005;05.01.2006;0.15;0.15;1;1;1;0;0;14;174;;;;;;;;
99850847;BE;Erweiterung und Umbau eines Einfamilienhauses;2;Feb 06;Mai 06;10.11.2005;31.01.2006;0.28;0.28;1;1;2;1;1;14;;;;;;;;;
99850843;BE;Neubau eines Einfamilienhauses mit Garage;1; ; ;10.11.2005;12.01.2006;0.5;0.5;1;1;0;1;0;14;139;;;;;;;;
99846437;BE;Neubau eines Einfamilienhauses mit Garage;1;Mrz 06;Sep 06;11.10.2005;04.01.2006;0.5;0.5;1;1;2;1;0;14;139;;;;;;;;
99846436;BE;Anbau Schweinezuchtstall mit Jauchegrube, Umbau Ställe         ;2;Apr 06;Jul 06;12.10.2005;10.01.2006;0.58;0.58;1;0;0;0;0;43;48;;;;;;;;
99846430;BE;Neubau eines Einfamilienhauses;1; ; ;12.10.2005;18.01.2006;0.52;0.52;1;1;0;1;0;14;;;;;;;;;
99847561;BE;Umbau einer Lagerhalle;3; ; ;20.10.2005;19.01.2006;0.95;0.95;1;0;0;0;0;31;;;;;;;;;
99849253;BE;Erweiterung Einfamilienhaus mit Anbau Atelier;2;Jan 06;Mai 06;27.10.2005;10.01.2006;0.3;0.3;1;1;0;0;0;14;39;;;;;;;;
